year,week,gross,top_release,releases,long_weekend
1987,43,54273286,Fatal Attraction,20,false
1987,44,40508267,Fatal Attraction,16,false
1987,45,61654684,Fatal Attraction,21,false
1987,46,51695001,The Running Man,21,false
1987,47,77449278,The Running Man,27,false
1987,48,69090236,Three Men and a Baby,18,false
1987,49,40249087,Three Men and a Baby,14,false
1987,50,53914465,Throw Momma from the Train,19,false
1987,51,74351661,Eddie Murphy: Raw,22,false
1987,52,115544934,Three Men and a Baby,20,false
1988,1,80765348,Three Men and a Baby,19,false
1988,2,57716498,Three Men and a Baby,18,false
1988,3,85586320,"Good Morning, Vietnam",19,false
1988,4,58381709,"Good Morning, Vietnam",22,false
1988,5,55285996,"Good Morning, Vietnam",24,false
1988,6,62441054,"Good Morning, Vietnam",25,false
1988,7,73815791,"Good Morning, Vietnam",21,false
1988,8,48843005,"Good Morning, Vietnam",15,false
1988,9,48930123,"Good Morning, Vietnam",22,false
1988,10,51019174,"Good Morning, Vietnam",20,false
1988,11,55195422,School Daze,21,false
1988,12,58258123,Bloodsport,23,false
1988,13,65136956,Biloxi Blues,23,false
1988,14,74203292,Beetlejuice,24,false
1988,15,58191030,Beetlejuice,25,false
1988,16,69460306,Beetlejuice,25,false
1988,17,55783431,Beetlejuice,22,false
1988,18,45224483,Colors,22,false
1988,19,38040397,Colors,23,false
1988,20,37364614,Friday the 13th Part VII: The New Blood,19,false
1988,21,52157332,Willow,22,false
1988,22,83866338,Crocodile Dundee II,20,false
1988,23,72607229,Crocodile Dundee II,17,false
1988,24,80368383,Crocodile Dundee II,19,false
1988,25,88752884,Red Heat,18,false
1988,26,95266039,Who Framed Roger Rabbit,15,false
1988,27,110043679,Coming to America,14,false
1988,28,102163256,Coming to America,17,false
1988,29,107931843,The Dead Pool,19,false
1988,30,117785684,Who Framed Roger Rabbit,23,false
1988,31,112393745,Cocktail,20,false
1988,32,88635625,Cocktail,20,false
1988,33,96262833,Young Guns,23,false
